(n, m) = (10, 10)     | (i, j) = (2, 3) | D = 0.0
(n, m) = (10, 10)     | (i, j) = (2, 4) | D = 0.22361
(n, m) = (10, 10)     | (i, j) = (3, 0) | D = 0.22361
(n, m) = (10, 10)     | (i, j) = (3, 1) | D = 0.22361
(n, m) = (10, 10)     | (i, j) = (3, 2) | D = 0.0
(n, m) = (10, 10)     | (i, j) = (3, 3) | D = 0.0
(n, m) = (10, 10)     | (i, j) = (3, 4) | D = 0.22361
(n, m) = (10, 10)     | (i, j) = (4, 0) | D = 0.0
(n, m) = (10, 10)     | (i, j) = (4, 1) | D = 0.0
(n, m) = (10, 10)     | (i, j) = (4, 2) | D = 0.22361
(n, m) = (10, 10)     | (i, j) = (4, 3) | D = 0.22361
(n, m) = (10, 10)     | (i, j) = (4, 4) | D = 0.0
(n, m) = (10, 100)    | (i, j) = (0, 0) | D = 0.18091
(n, m) = (10, 100)    | (i, j) = (0, 1) | D = 0.21106
(n, m) = (10, 100)    | (i, j) = (0, 2) | D = 0.1206
(n, m) = (10, 100)    | (i, j) = (0, 3) | D = 0.15076
(n, m) = (10, 100)    | (i, j) = (0, 4) | D = 0.09045
(n, m) = (10, 100)    | (i, j) = (1, 0) | D = 0.18091
(n, m) = (10, 100)    | (i, j) = (1, 1) | D = 0.21106
(n, m) = (10, 100)    | (i, j) = (1, 2) | D = 0.1206
(n, m) = (10, 100)    | (i, j) = (1, 3) | D = 0.15076
(n, m) = (10, 100)    | (i, j) = (1, 4) | D = 0.09045
(n, m) = (10, 100)    | (i, j) = (2, 0) | D = 0.1206
(n, m) = (10, 100)    | (i, j) = (2, 1) | D = 0.09045
(n, m) = (10, 100)    | (i, j) = (2, 2) | D = 0.18091
(n, m) = (10, 100)    | (i, j) = (2, 3) | D = 0.15076
(n, m) = (10, 100)    | (i, j) = (2, 4) | D = 0.21106
(n, m) = (10, 100)    | (i, j) = (3, 0) | D = 0.1206
(n, m) = (10, 100)    | (i, j) = (3, 1) | D = 0.09045
(n, m) = (10, 100)    | (i, j) = (3, 2) | D = 0.18091
(n, m) = (10, 100)    | (i, j) = (3, 3) | D = 0.15076
(n, m) = (10, 100)    | (i, j) = (3, 4) | D = 0.21106
(n, m) = (10, 100)    | (i, j) = (4, 0) | D = 0.18091
(n, m) = (10, 100)    | (i, j) = (4, 1) | D = 0.21106
(n, m) = (10, 100)    | (i, j) = (4, 2) | D = 0.1206
(n, m) = (10, 100)    | (i, j) = (4, 3) | D = 0.15076
(n, m) = (10, 100)    | (i, j) = (4, 4) | D = 0.09045
(n, m) = (10, 200)    | (i, j) = (0, 0) | D = 0.20059
(n, m) = (10, 200)    | (i, j) = (0, 1) | D = 0.13887
(n, m) = (10, 200)    | (i, j) = (0, 2) | D = 0.13887
(n, m) = (10, 200)    | (i, j) = (0, 3) | D = 0.12344
(n, m) = (10, 200)    | (i, j) = (0, 4) | D = 0.16973
(n, m) = (10, 200)    | (i, j) = (1, 0) | D = 0.20059
(n, m) = (10, 200)    | (i, j) = (1, 1) | D = 0.13887
(n, m) = (10, 200)    | (i, j) = (1, 2) | D = 0.13887
(n, m) = (10, 200)    | (i, j) = (1, 3) | D = 0.12344
(n, m) = (10, 200)    | (i, j) = (1, 4) | D = 0.16973
(n, m) = (10, 200)    | (i, j) = (2, 0) | D = 0.10801
(n, m) = (10, 200)    | (i, j) = (2, 1) | D = 0.16973
(n, m) = (10, 200)    | (i, j) = (2, 2) | D = 0.16973
(n, m) = (10, 200)    | (i, j) = (2, 3) | D = 0.18516
(n, m) = (10, 200)    | (i, j) = (2, 4) | D = 0.13887
(n, m) = (10, 200)    | (i, j) = (3, 0) | D = 0.10801
(n, m) = (10, 200)    | (i, j) = (3, 1) | D = 0.16973
(n, m) = (10, 200)    | (i, j) = (3, 2) | D = 0.16973
(n, m) = (10, 200)    | (i, j) = (3, 3) | D = 0.18516
(n, m) = (10, 200)    | (i, j) = (3, 4) | D = 0.13887
(n, m) = (10, 200)    | (i, j) = (4, 0) | D = 0.20059
(n, m) = (10, 200)    | (i, j) = (4, 1) | D = 0.13887
(n, m) = (10, 200)    | (i, j) = (4, 2) | D = 0.13887
(n, m) = (10, 200)    | (i, j) = (4, 3) | D = 0.12344
(n, m) = (10, 200)    | (i, j) = (4, 4) | D = 0.16973
(n, m) = (10, 400)    | (i, j) = (0, 0) | D = 0.17179
(n, m) = (10, 400)    | (i, j) = (0, 1) | D = 0.13275
(n, m) = (10, 400)    | (i, j) = (0, 2) | D = 0.19522
(n, m) = (10, 400)    | (i, j) = (0, 3) | D = 0.23426
(n, m) = (10, 400)    | (i, j) = (0, 4) | D = 0.22645
(n, m) = (10, 400)    | (i, j) = (1, 0) | D = 0.17179
(n, m) = (10, 400)    | (i, j) = (1, 1) | D = 0.13275
(n, m) = (10, 400)    | (i, j) = (1, 2) | D = 0.19522
(n, m) = (10, 400)    | (i, j) = (1, 3) | D = 0.23426
(n, m) = (10, 400)    | (i, j) = (1, 4) | D = 0.22645
(n, m) = (10, 400)    | (i, j) = (2, 0) | D = 0.14056
(n, m) = (10, 400)    | (i, j) = (2, 1) | D = 0.1796
(n, m) = (10, 400)    | (i, j) = (2, 2) | D = 0.11713
(n, m) = (10, 400)    | (i, j) = (2, 3) | D = 0.07809
