(n, m) = (100, 600)   | D = 0.0035
(n, m) = (100, 600)   | D = 0.00408
(n, m) = (100, 600)   | D = 0.00525
(n, m) = (100, 600)   | D = 0.01166
(n, m) = (100, 600)   | D = 0.00642
(n, m) = (100, 600)   | D = 0.007
(n, m) = (100, 600)   | D = 0.00175
(n, m) = (100, 600)   | D = 0.00233
(n, m) = (100, 600)   | D = 0.00816
(n, m) = (100, 600)   | D = 0.00292
(n, m) = (100, 600)   | D = 0.0035
(n, m) = (100, 600)   | D = 0.00758
(n, m) = (100, 600)   | D = 0.00875
(n, m) = (100, 600)   | D = 0.01516
(n, m) = (100, 600)   | D = 0.00991
(n, m) = (100, 600)   | D = 0.0105
(n, m) = (100, 800)   | D = 0.00354
(n, m) = (100, 800)   | D = 0.00275
(n, m) = (100, 800)   | D = 0.00079
(n, m) = (100, 800)   | D = 0.00157
(n, m) = (100, 800)   | D = 0.00196
(n, m) = (100, 800)   | D = 0.00668
(n, m) = (100, 800)   | D = 0.00079
(n, m) = (100, 800)   | D = 0.00275
(n, m) = (100, 800)   | D = 0.00157
(n, m) = (100, 800)   | D = 0.00511
(n, m) = (100, 800)   | D = 0.00275
(n, m) = (100, 800)   | D = 0.00904
(n, m) = (100, 800)   | D = 0.00668
(n, m) = (100, 800)   | D = 0.00786
(n, m) = (100, 800)   | D = 0.00432
(n, m) = (100, 800)   | D = 0.00157
(n, m) = (100, 800)   | D = 0.00589
(n, m) = (100, 800)   | D = 0.00354
(n, m) = (100, 800)   | D = 0.00471
(n, m) = (100, 800)   | D = 0.00157
(n, m) = (100, 800)   | D = 0.00589
(n, m) = (100, 800)   | D = 0.01218
(n, m) = (100, 800)   | D = 0.00982
(n, m) = (100, 800)   | D = 0.011
(n, m) = (100, 800)   | D = 0.00746
(n, m) = (100, 1000)  | D = 0.00287
(n, m) = (100, 1000)  | D = 0.00374
(n, m) = (100, 1000)  | D = 0.00115
(n, m) = (100, 1000)  | D = 0.00115
(n, m) = (100, 1000)  | D = 0.00316
(n, m) = (100, 1000)  | D = 0.00575
(n, m) = (100, 1000)  | D = 0.00086
(n, m) = (100, 1000)  | D = 0.00402
(n, m) = (100, 1000)  | D = 0.00316
(n, m) = (100, 1000)  | D = 0.00029
(n, m) = (100, 1000)  | D = 0.00287
(n, m) = (100, 1000)  | D = 0.00949
(n, m) = (100, 1000)  | D = 0.0046
(n, m) = (100, 1000)  | D = 0.00546
(n, m) = (100, 1000)  | D = 0.00891
(n, m) = (100, 1000)  | D = 0.00144
(n, m) = (100, 1000)  | D = 0.00661
(n, m) = (100, 1000)  | D = 0.00259
(n, m) = (100, 1000)  | D = 0.00259
(n, m) = (100, 1000)  | D = 0.00604
(n, m) = (100, 1000)  | D = 0.00575
(n, m) = (100, 1000)  | D = 0.01236
(n, m) = (100, 1000)  | D = 0.00747
(n, m) = (100, 1000)  | D = 0.00834
(n, m) = (100, 1000)  | D = 0.01179
(n, m) = (200, 5)     | D = 0.0054
(n, m) = (200, 5)     | D = 0.02545
(n, m) = (200, 5)     | D = 0.0054
(n, m) = (200, 5)     | D = 0.02545
(n, m) = (200, 5)     | D = 0.0054
(n, m) = (200, 5)     | D = 0.00848
(n, m) = (200, 5)     | D = 0.02237
(n, m) = (200, 5)     | D = 0.00848
(n, m) = (200, 5)     | D = 0.02237
(n, m) = (200, 5)     | D = 0.00848
(n, m) = (200, 5)     | D = 0.00848
(n, m) = (200, 5)     | D = 0.02237
(n, m) = (200, 5)     | D = 0.00848
(n, m) = (200, 5)     | D = 0.02237
(n, m) = (200, 5)     | D = 0.00848
(n, m) = (200, 5)     | D = 0.00926
(n, m) = (200, 5)     | D = 0.0216
(n, m) = (200, 5)     | D = 0.00926
(n, m) = (200, 5)     | D = 0.0216
(n, m) = (200, 5)     | D = 0.00926
(n, m) = (200, 5)     | D = 0.00694
(n, m) = (200, 5)     | D = 0.02391
(n, m) = (200, 5)     | D = 0.00694
(n, m) = (200, 5)     | D = 0.02391
(n, m) = (200, 5)     | D = 0.00694
(n, m) = (200, 10)    | D = 0.01384
(n, m) = (200, 10)    | D = 0.01384
(n, m) = (200, 10)    | D = 0.00745
(n, m) = (200, 10)    | D = 0.00745
(n, m) = (200, 10)    | D = 0.01384
(n, m) = (200, 10)    | D = 0.00958
(n, m) = (200, 10)    | D = 0.00958
(n, m) = (200, 10)    | D = 0.01171
(n, m) = (200, 10)    | D = 0.01171
(n, m) = (200, 10)    | D = 0.00958
(n, m) = (200, 10)    | D = 0.00958
(n, m) = (200, 10)    | D = 0.00958
(n, m) = (200, 10)    | D = 0.01171
